,ZIP,Total_Pop,No_School,No_School_Pct,8th_Grade,8th_Grade_Pct,Some_HS,Some_HS_Pct,HS_or_GED,HS_GED_Pct,Some_College,Some_Coll_Pct,Assoc_Deg,Assoc_Deg_Pct,Bach_Deg,Bach_Deg_Pct,Mast_Deg,Mast_Deg_Pct,Prof_Deg,Prof_Deg_Pct,Doct_Deg,Doct_Deg_Pct
0,60647,62961,1020,1.6200505074569973,1012,1.6073442289671385,1102,1.75028986197805,11975,19.019710614507392,7744,12.299677578183319,2786,4.424961484093328,20968,33.30315592191992,8502,13.503597465097442,2467,3.918298629310208,951,1.5104588554819651
1,60639,56047,2660,4.746016735953753,1982,3.536317733330954,3421,6.103805734472853,17206,30.69923457098507,9300,16.59321640765786,2996,5.3455135868110695,4930,8.796188912876692,1631,2.910057630203222,355,0.633396970399843,108,0.1926954163469945
2,60707,29881,522,1.746929486964961,645,2.158562297111877,1028,3.440313242528697,8229,27.539238981292456,6596,22.07422777015495,2493,8.343094273953348,5228,17.496067735350223,2054,6.873933268632242,481,1.6097185502493223,158,0.5287640975870955
3,60622,40825,627,1.5358236374770362,340,0.8328230251071647,573,1.4035517452541335,3844,9.415799142682179,4384,10.738518064911206,1493,3.6570728720146968,17957,43.98530312308635,7025,17.20759338640539,2305,5.646050214329455,962,2.3563992651561545
4,60651,39140,935,2.388860500766479,1209,3.0889115993868166,1895,4.841594276954522,12740,32.54982115482882,8530,21.793561573837504,2770,7.077158916709249,3721,9.506898313745529,1448,3.6995401124169645,243,0.6208482370975984,91,0.23249872253449155
5,60611,27995,57,0.20360778710484018,0,0.0,43,0.15359885693873906,1088,3.8864082871941417,2424,8.65868905161636,816,2.9148062153956062,10546,37.671012680835865,7034,25.125915342025362,4364,15.588497946061796,1541,5.504554384711556
6,60638,40191,694,1.7267547460874326,980,2.438356846060063,1373,3.416187703714762,13915,34.62217909482222,8729,21.718792764549278,3294,8.19586474583862,5428,13.505511184095942,2002,4.981214699808415,251,0.624517926899057,210,0.5225050384414421
7,60652,27474,521,1.896338356264104,467,1.6997888913154255,863,3.141151634272403,8577,31.21860668268181,6302,22.9380505204921,2751,10.013103297663244,3589,13.063259809274221,1800,6.551648831622625,113,0.41129795442964256,160,0.5823687850331222
8,60626,34419,564,1.6386298265492896,452,1.3132281588657428,814,2.3649728347714927,6419,18.64958307911328,6230,18.100467764897296,1621,4.709608065312763,9428,27.391847526075715,5190,15.07888085069293,774,2.24875795345594,690,2.0047067026932797
9,60615,28640,116,0.40502793296089384,139,0.48533519553072624,439,1.5328212290502792,3602,12.5768156424581,4635,16.183659217877093,1891,6.602653631284916,6944,24.24581005586592,5756,20.09776536312849,1650,5.761173184357542,2429,8.481145251396647
10,60621,18283,241,1.318164415030356,465,2.5433462779631353,926,5.064814308373899,6381,34.90127440791993,5078,27.774435267735054,1143,6.251709238090029,1166,6.377509161516162,398,2.17688563146092,60,0.3281737132855658,5,0.02734780944046382
11,60645,31542,998,3.1640352545811936,470,1.4900767230993597,806,2.555323061315072,6542,20.740599835140447,4564,14.46959609409676,1355,4.295859488935387,8465,26.837232895821444,3838,12.167903113309238,783,2.482404413163401,652,2.067085156299537
12,60643,34471,318,0.9225145774709176,245,0.7107423631458327,465,1.348959995358417,7526,21.83284500014505,8526,24.73383423747498,2661,7.7195323605349415,6675,19.36410315917728,4504,13.066055524934002,998,2.8951872588552696,658,1.9088509181630937
13,60660,33145,514,1.5507618041936944,318,0.9594207271081611,711,2.1451199275908888,5652,17.052345753507318,5154,15.549856690300196,1730,5.219490119173329,9816,29.615326595263237,5370,16.201538693618946,1197,3.6114044350580783,734,2.2145119927590886
14,60640,55020,658,1.1959287531806615,717,1.303162486368593,1185,2.1537622682660853,8292,15.070883315158124,7768,14.118502362777171,2537,4.611050527081061,18688,33.965830607051984,8731,15.868774990912396,2309,4.196655761541257,1021,1.8556888404216647
15,60614,50765,109,0.21471486260218656,218,0.4294297252043731,181,0.3565448635871171,2591,5.10391017433271,3224,6.350832266325224,959,1.8890968186742834,24449,48.16113464000788,11520,22.69280015758889,5571,10.974096326209002,1438,2.8326602974490296
16,60631,22102,145,0.6560492263143607,243,1.0994480137544114,382,1.728350375531626,5343,24.17428287032848,4161,18.826350556510725,1694,7.664464754320877,5744,25.9885983168944,3018,13.654872862184417,571,2.5834766084517238,280,1.2668536784001447
17,60646,20377,113,0.554546792952839,216,1.060018648476223,327,1.6047504539431712,3947,19.3698778034058,3638,17.85346223683565,953,4.67684153702704,6271,30.774893262011087,2911,14.285714285714285,866,4.249889581390784,393,1.9286450409775728
18,60628,44306,414,0.9344106892971606,600,1.35421839028574,1760,3.972373944838171,12424,28.041348801516726,13562,30.60984968175868,3382,7.633277659910622,5073,11.449916489865933,2729,6.159436645149642,289,0.6522818579876315,273,0.6161693675800117
19,60625,56133,1260,2.244668911335578,973,1.7333832148646964,1016,1.8099869951721803,10140,18.064240286462507,7697,13.712076675039638,2836,5.052286533768015,17145,30.543530543530544,7438,13.250672509931768,1639,2.919851067999216,866,1.5427645057274686
20,60641,49271,1229,2.494367883745002,1046,2.122952649631629,2060,4.180958373079499,12774,25.92600109597938,8602,17.458545594771774,3382,6.864078261046052,9418,19.114692212457634,3923,7.96208723184023,795,1.613525197377768,459,0.9315824724482962
21,60657,53263,182,0.3417006176895781,131,0.2459493456996414,160,0.30039614741940934,2451,4.6016934832810765,4319,8.10881850440268,1809,3.396353941760697,25441,47.76486491560746,11793,22.14107354073184,4821,9.051311416931078,1769,3.3212549049058446
